,Business Name,Locality,Phone Number,State,Street Address,Zip Code
0,Coffee,Los Angeles ,(213) 205-8230,CA,3221 S Hill St,90007
1,Caffe Latte,Los Angeles ,(323) 936-5213,CA,6254 Wilshire Blvd,90048
2,Bourgeois Pig,Los Angeles ,(323) 464-6008,CA,5931 Franklin Ave,90028
3,Beard Papa Sweet Cafe,Los Angeles ,(323) 462-6100,CA,6801 Hollywood Blvd Ste 157,90028
4,Intelligentsia Coffee,Los Angeles ,(323) 663-6173,CA,3922 W Sunset Blvd,90029
5,The Downbeat Cafe,Los Angeles ,(213) 483-3955,CA,1202 N Alvarado St,90026
6,Sabor Y Cultura,Los Angeles ,(323) 466-0481,CA,5625 Hollywood Blvd,90028
7,The Wood Cafe,Los Angeles ,(310) 915-9663,CA,12000 Washington Pl,90066
8,Groundwork Coffee Inc,Los Angeles ,(323) 871-0143,CA,1501 N Cahuenga Blvd,90028
9,The Apple Pan,Los Angeles ,(310) 475-3585,CA,10801 W Pico Blvd,90064
10,Good Micro Brew & Grill,Los Angeles ,(323) 660-3645,CA,3725 W Sunset Blvd,90026
11,Cafe Stella,Los Angeles ,(323) 666-0265,CA,3932 W Sunset Blvd,90029
12,Swork Coffee,Los Angeles ,(323) 258-5600,CA,2160 Colorado Blvd,90041
13,House of Pies,Los Angeles ,(323) 666-9961,CA,1869 N Vermont Ave,90027
14,Lulu's Cafe,Los Angeles ,(323) 938-6095,CA,7149 Beverly Blvd,90036
15,Hotel Cafe,Los Angeles ,(323) 461-2040,CA,1623 N Cahuenga Blvd,90028
16,Nordstrom Ebar Artisan Coffee,Los Angeles ,(323) 900-1615,CA,189 The Grove Dr,90036
17,Pann's Restaurant,Los Angeles ,(323) 776-3770,CA,6710 La Tijera Blvd,90045
18,Maxwell Cafe,Los Angeles ,(310) 306-7829,CA,13329 W Washington Blvd,90066
19,Fratelli Cafe,Los Angeles ,(323) 938-2233,CA,7200 Melrose Ave,90046
20,Suehiro Cafe,Los Angeles ,(213) 626-9132,CA,337 E 1st St,90012
21,Elf Cafe,Los Angeles ,(213) 484-6829,CA,2135 W Sunset Blvd,90026
22,Starbucks Coffee,Los Angeles ,(323) 662-8107,CA,4520 W Sunset Blvd,90027
23,Boba Loca,Los Angeles ,(310) 443-8911,CA,10946 Weyburn Ave,90024
24,Insomnia Cafe,Los Angeles ,(323) 931-4943,CA,7286 Beverly Blvd,90036
25,Haus by coffee hunter,Los Angeles ,(213) 388-5311,CA,3826 W 6th St,90020
26,The Coffee Bean & Tea Leaf,Los Angeles ,(323) 913-3457,CA,2081 Hillhurst Ave,90027
27,Urth Caffe,Los Angeles ,(213) 797-4534,CA,451 S Hewitt St,90013
28,Kaldi Coffee & Tea,Los Angeles ,(323) 660-6005,CA,3147 Glendale Blvd,90039
29,Wild Oats Cafe,Los Angeles ,(323) 462-0862,CA,5630 Melrose Ave,90038
30,Proof Bakery,Los Angeles ,(323) 664-8633,CA,3156 Glendale Blvd,90039
31,Broome Street General Store,Los Angeles ,(323) 284-8305,CA,2912 Rowena Ave,90039
32,The Coffee Table,Los Angeles ,(323) 255-2200,CA,1958 Colorado Blvd,90041
33,L.A. Cafe,Los Angeles ,(213) 612-3000,CA,639 S Spring St,90014
34,Silverlake Coffee,Los Angeles ,(323) 913-0388,CA,2388 Glendale Blvd,90039
35,Lazy Daisy Cafe,Los Angeles ,(310) 477-8580,CA,11913 Wilshire Blvd,90025
36,Cafe Loft,Los Angeles ,(213) 383-3006,CA,3882 W 6th St,90020
37,Koffea,Los Angeles ,(213) 427-1441,CA,610 S Berendo St,90005
38,Buzz Coffee,Los Angeles ,(323) 656-7460,CA,8000 W Sunset Blvd,90046
39,Cafe Dulce,Los Angeles ,(213) 346-9910,CA,134 Japanese Village Plaza Mall,90012
40,Boba Time,Los Angeles ,(323) 466-2622,CA,125 N Western Ave Ste 103,90004
41,Gelateria Uli,Los Angeles ,(213) 900-4717,CA,541 S Spring St Ste 104,90013
42,Lemon Poppy Kitchen,Los Angeles ,(323) 739-0012,CA,3324 Verdugo Rd,90065
43,Boba Time,Los Angeles ,(310) 445-9882,CA,11207 National Blvd,90064
44,Cafe Demitasse,Los Angeles ,(213) 613-9300,CA,135 S San Pedro St,90012
45,Nick's Cafe,Los Angeles ,(323) 222-1450,CA,1300 N Spring St,90012
46,Sul N Beans,Los Angeles ,(213) 385-5510,CA,621 S Western Ave,90005
47,Black Dog Coffee,Los Angeles ,(323) 933-1976,CA,5657 Wilshire Blvd Ste 150,90036
48,23rd Street Cafe,Los Angeles ,(213) 749-1593,CA,936 W 23rd St,90007
49,Iota Brew Cafe,Los Angeles ,(213) 568-2700,CA,528 S Western Ave,90020
50,Primera Taza Coffee House,Los Angeles ,(323) 780-3923,CA,1850 E 1st St,90033
51,Klat,Los Angeles ,(213) 674-7776,CA,621 S Western Ave Ste 101,90005
52,Blue Bottle Coffee,Los Angeles ,(213) 621-4194,CA,582 Mateo St,90013
53,Stumptown Coffee Roasters,Los Angeles ,(213) 337-0936,CA,806 S Santa Fe Ave,90021
54,Cafe De Leche,Los Angeles ,(323) 551-6828,CA,5000 York Blvd,90042
55,Cafe Aroma,Los Angeles ,(323) 653-2459,CA,7801 Melrose Ave Ste 2,90046
56,El Potrillo Cafe,Los Angeles ,(213) 738-7778,CA,210 N Virgil Ave,90004
57,Chung King Cafe,Los Angeles ,(323) 263-8313,CA,4578 Whittier Blvd,90022
58,Edibles Coffee Shop,Los Angeles ,(310) 556-2790,CA,1888 Century Park E Ste Ll30,90067
59,Venice Grind,Los Angeles ,(310) 397-2227,CA,12224 Venice Blvd,90066
60,Klat,Los Angeles ,(213) 674-7776,CA,621 S Western Ave Ste 101,90005
61,The Coffee Bean & Tea Leaf,Los Angeles ,(310) 473-6618,CA,11049 Santa Monica Blvd,90025
62,Blue Bottle Coffee,Los Angeles ,(213) 621-4194,CA,582 Mateo St,90013
63,Stumptown Coffee Roasters,Los Angeles ,(213) 337-0936,CA,806 S Santa Fe Ave,90021
64,Cafe De Leche,Los Angeles ,(323) 551-6828,CA,5000 York Blvd,90042
65,Cafe Aroma,Los Angeles ,(323) 653-2459,CA,7801 Melrose Ave Ste 2,90046
66,El Potrillo Cafe,Los Angeles ,(213) 738-7778,CA,210 N Virgil Ave,90004
67,Chung King Cafe,Los Angeles ,(323) 263-8313,CA,4578 Whittier Blvd,90022
68,Edibles Coffee Shop,Los Angeles ,(310) 556-2790,CA,1888 Century Park E Ste Ll30,90067
69,Venice Grind,Los Angeles ,(310) 397-2227,CA,12224 Venice Blvd,90066
70,Starbucks Coffee,Los Angeles ,(323) 478-7365,CA,6240 York Blvd,90042
71,The Coffee Bean & Tea Leaf,Los Angeles ,(310) 313-0259,CA,3470 S Sepulveda Blvd,90034
72,Los Angeles Police Revolver,Los Angeles ,(323) 221-5222,CA,1880 Academy Dr,90012
73,TOM N TOMS Coffee,Los Angeles ,(213) 381-7271,CA,621 S Western Ave Ste 101,90005
74,Bob's Coffee & Doughnuts,Los Angeles ,(323) 933-8929,CA,6333 W 3rd St Ste 450,90036
75,Volcano Tea House,Los Angeles ,(310) 445-5326,CA,2111 Sawtelle Blvd,90025
76,Peet's Coffee & Tea,Los Angeles ,(310) 979-7892,CA,11750 San Vicente Blvd,90049
77,Caffe Bene,Los Angeles ,(213) 384-3713,CA,3287 Wilshire Blvd #B,90010
78,Mountain,Los Angeles ,(213) 487-7615,CA,3470 W 6th St,90020
79,I Love Boba,Los Angeles ,(323) 737-4199,CA,1144 S Western Ave,90006
80,Starbucks Coffee,Los Angeles ,(323) 667-1457,CA,3111 Glendale Blvd,90039
81,Cafe Vita,Los Angeles ,(323) 663-6340,CA,4459 W Sunset Blvd,90027
82,Starbucks Coffee,Los Angeles ,(213) 613-0393,CA,138 S Central Ave,90012
83,Starbucks Coffee,Los Angeles ,(213) 626-0466,CA,350 S Grand Ave Ste B5,90071
84,Starbucks Coffee,Los Angeles ,(213) 489-0913,CA,300 E 9th St,90015
85,Starbucks Coffee,Los Angeles ,(213) 384-3578,CA,3150 Wilshire Blvd,90010
86,Starbucks Coffee,Los Angeles ,(213) 382-3351,CA,3450 Wilshire Blvd,90010
87,Peet's Coffee & Tea,Los Angeles ,(323) 978-1003,CA,124 N Larchmont Blvd,90004
88,Starbucks Coffee,Los Angeles ,(323) 469-1081,CA,206 N Larchmont Blvd,90004
89,Starbucks Coffee,Los Angeles ,(323) 734-0281,CA,4177 W Washington Blvd,90018
90,Starbucks Coffee,Los Angeles ,(323) 665-1347,CA,2919 Los Feliz Blvd,90039
91,Starbucks Coffee,Los Angeles ,(323) 936-5032,CA,4700 W Pico Blvd,90019
92,Starbucks Coffee,Los Angeles ,(323) 493-1868,CA,859 N Highland Ave,90038
93,Starbucks Coffee,Los Angeles ,(323) 931-1013,CA,5757 Wilshire Blvd Ste 106,90036
94,Starbucks Coffee,Los Angeles ,(323) 850-7360,CA,1900 N Highland Ave,90068
95,Starbucks Coffee,Los Angeles ,(323) 938-0821,CA,3344 S La Cienega Blvd,90016
96,Peet's Coffee & Tea,Los Angeles ,(310) 954-8191,CA,1154 Westwood Blvd,90024
97,Verve Coffee Roasters,Los Angeles ,(213) 455-5991,CA,833 S Spring St,90014
98,Starbucks Coffee,Los Angeles ,(213) 384-6552,CA,3461 W 3rd St,90020
